35472673,אבי דיכטר,הליכוד,true,https://pbs.twimg.com/profile_images/1341737784940392455/qiqmSnQ__400x400.jpg,שר החקלאות
3192316610,אופיר כץ,הליכוד,true,https://pbs.twimg.com/profile_images/1545097326301270016/YSqPpI4O_400x400.jpg,יושב ראש הקואליציה
1594347849721970688,אושר שקלים,הליכוד,true,https://pbs.twimg.com/profile_images/1638118089400221699/gI1QmttZ_400x400.jpg,
1592098817515610113,אלי דלל,הליכוד,true,https://pbs.twimg.com/profile_images/1770019148896100352/DeigHENf_400x400.jpg,
1589335886369640448,אליהו רביבו,הליכוד,true,https://pbs.twimg.com/profile_images/1589336324909195264/jMDeyPKR_400x400.jpg,
2169100095,אמיר אוחנה,הליכוד,true,https://pbs.twimg.com/profile_images/1613505460849573888/SvAAbQsN_400x400.jpg,
1100069365108625409,אריאל קלנר,הליכוד,true,https://pbs.twimg.com/profile_images/1613147350746136580/NfhQYcwL_400x400.jpg,
830442695931858945,בועז ביסמוט,הליכוד,true,https://pbs.twimg.com/profile_images/1735183812512862208/hLtcU-Ti_400x400.jpg,ראש הממשלה
17061263,בנימין נתניהו,הליכוד,true,https://pbs.twimg.com/profile_images/1096353845809238016/ds_-S78p_400x400.jpg,ראש הממשלה
928581456,גילה גמליאל,הליכוד,true,https://pbs.twimg.com/profile_images/1560303463795417089/CIVDjjOA_400x400.jpg,שרת החדשנות המדע והטכנולוגיה
1379713510528200706,גלית דיסטל אטבריאן,הליכוד,true,https://pbs.twimg.com/profile_images/1616113085391028226/KJPEq1AD_400x400.jpg,
3181526756,דוד ביטן,הליכוד,true,https://pbs.twimg.com/profile_images/860153983717036032/udxC7EWw_400x400.jpg,
15345201,דן אילוז,הליכוד,true,https://pbs.twimg.com/profile_images/1182183145946435584/yF56yTiI_400x400.jpg,
45139191,דני דנון,הליכוד,true,https://pbs.twimg.com/profile_images/1559095005142290434/JMoUiG86_400x400.jpg,
1124228935129161728,אתי חוה עטיה,הליכוד,true,https://pbs.twimg.com/profile_images/1264510494582476801/imJvMisF_400x400.jpg,
963978842460377088,חנוך מילביצקי,הליכוד,true,https://pbs.twimg.com/profile_images/1726544326191099904/irwJ1S1p_400x400.jpg,
1210991740640882690,טלי גוטליב,הליכוד,true,https://pbs.twimg.com/profile_images/1210992476753936385/mc60-DIG_400x400.jpg,
824933986560573441,יואב גלנט,הליכוד,true,https://pbs.twimg.com/profile_images/1616461978465193986/A4QetZCU_400x400.jpg,שר הביטחון
151731997,יולי אדלשטיין,הליכוד,true,https://pbs.twimg.com/profile_images/1404331606438027266/Bkf4akNU_400x400.jpg,
804249337672908800,ישראל כץ,הליכוד,true,https://pbs.twimg.com/profile_images/1427290502794207239/eObr9XNX_400x400.jpg,שר החוץ
1107178933,מאי גולן,הליכוד,true,https://pbs.twimg.com/profile_images/1664573085926793219/cR-H-BFQ_400x400.jpg,השרה לשוויון חברתי וקידום מעמד האישה
1592165797459333120,משה סעדה,הליכוד,true,https://pbs.twimg.com/profile_images/1592169573041807360/-naZu2Gw_400x400.jpg,
937322707447885824,משה פסל,הליכוד,true,https://pbs.twimg.com/profile_images/948984980893585408/qfmBxst4_400x400.jpg,
568872230,ניסים ואטורי,הליכוד,true,https://pbs.twimg.com/profile_images/1578359537085677568/5G6cNBy8_400x400.jpg,
3269234203,ניר ברקת,הליכוד,true,https://pbs.twimg.com/profile_images/1405112199132024834/lsPYABNA_400x400.jpg,שר הכלכלה והתעשיה
944813086493609985,עמית הלוי,הליכוד,true,https://pbs.twimg.com/profile_images/1192756847557664768/weS4IKSf_400x400.jpg,
1628123083839094784,צגה מלקו,הליכוד,true,https://pbs.twimg.com/profile_images/1669245258981429248/5ox7dr1V_400x400.jpg,
3360419146,קטי שטרית,הליכוד,true,https://pbs.twimg.com/profile_images/1559212733161259009/hZ-muV9T_400x400.jpg,
1598031593272184848,שלום דנינו,הליכוד,true,https://pbs.twimg.com/profile_images/1598031899959693356/YJgHqlsA_400x400.jpg,
729188285411688450,שלמה קרעי,הליכוד,true,https://pbs.twimg.com/profile_images/1726926290450567168/jvvxZAJT_400x400.jpg,שר התקשורת
